commit	median_gas	status	description
5520615	835526	keep	baseline TokenLedger gas_pack v2
be71b13	835526	discard	unchecked mintBatch loop increment
ee43f7a	813699	keep	load mintBatch inputs from calldata
9261f83	839688	discard	add single-mint fast path
ffa7fae	887232	keep	baseline RewardDistributor gas_pack v2
c26833e	889825	discard	cache reward accumulator in setShares
e590b35	887232	discard	unchecked setShares loop increment
11f5a1f	250228	keep	baseline MerkleClaimer gas_pack v2
71852b2	250228	discard	unchecked merkle proof loop increment
fea6933	898693	discard	inline reward claim accrual path
0d8f59f	862368	keep	specialize setShares zero-accrual path
fedb18f	245771	keep	inline merkle verification into claim
